 id, active, change_time, keycode, acknowledged, ackoperator, acktime, agent, alarmid, alarmname, rawalarmname, alarmserialnumber, alertgroup, clearoperator, clearparam, cleartime, cpcgroupid, cpidentifier, csyngroupid, deviceip, devicetype, domain, emstype, firstinserttime, firstoccurrence, ishub, isvip, lastinserttime, lastoccurrence, location, managedelement, manager, networktype, node, nodealias, parentnode, physicalcard, physicalport, physicalslot, emsname, probablecause, netype, extendedattr, rawseverity, firstcollecttime, lastcollecttime, resultflag, severity, standardalarmseverity, sitecode, sitedownflag, sitename, sitepriority, sitestage, sitetype, count_yn, subalarmname, tally, summary, vendor, originalsystem, eventtype, identifier, fresultflag, cfgroupid, cfidentifier, synresultflag, csynidentifier, flappingcount, transientresult, filteridentifcation, dbfirstinserttime, dblastinserttime, clearalarmfirstreceivetime, clearalarmlastreceivetime, tunnelfirstreceivetime, tunnellastreceivetime, moname, businessstatuscode, rcagroupid, rcaresult, rcarulename, identifierfromprobe, province, city, county, township, standardalarmid, standardalarmname, standardalarmtype, standardalarmsubtype, standardflag, logicsiteid, devicename, sourceid, alarmsubtype, sitedownfault, deviceid, abnormaltype, parentnodetype, syncflag, probeid, cruleid1, cruleid2, cruleid3, cruleid4, cruleid5, cruleid6, cruleid7, cruleid8, cruleid9, cruleid10, pccorrelationparam, pcresultruleids, pcassociationtime, derivedtime, diagnosetime, syntheticstaticstic, pcstaticstic, flappingstaticstic, derivedstaticstic, fdelay, fexpire, finterval, fparam, fruleid, fthreshold, sdynamicalval, sfixedval, sinterval, sparam, synscenarioid, syntheticalarmseverity, syntheticalarmname, syncleartype, threshold, affectedservice, derivedresult, derivedrulename, derivedpidentifier, derivedgroupid, localpriobj, alertkey, southboundclearreporttime, southboundreporttime, type, url, x733corrnotif, x733probablecause, x733specificprob, diagnosesuppressionparam, continuance, servername, serverserial, crole4, total_impacted_subscribers, impacted_traffic
 10583271000_10faf924400624d0dfd4e6d8f2a7e5423ef4ae2d0e7a7ecbe3c8a8b0b5afe9cf, 1, 0, 10583271000_10faf924400624d0dfd4e6d8f2a7e5423ef4ae2d0e7a7ecbe3c8a8b0b5afe9cf, 0, , 0, FTTH_Nokia_OLT, transceiver-presence-mismatch-alarm, transceiver-presence-mismatch-alarm, , blLBBp4BQS28Lnrz9s2g, , , nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C5:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, 0, , , , JKT-KBY-P-03-N, ,	 202, 98,	 1778229848667,	 10583271000, 0, 0,	 1778229848667,	 10583271000, , SA_NON_SERVICE_AFFECTING, FTTH_Nokia_OLT, , JKT-KBY-P-03-N, , , , 0, 0, Nokia_FTTH, Remove the transceiver and place a dust-cap on the open cage or configure the inserted transceiver for the system or insert the transceiver that matches the configuration, ," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured", 3,	 1778229837514,	 1778229837514, 0, 3, 3, , 0, , , , , , , 1," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured",	 1002, , 0, 10583271000_10faf924400624d0dfd4e6d8f2a7e5423ef4ae2d0e7a7ecbe3c8a8b0b5afe9cf, 0, , , 0, , 0, 0, 0,	 1778229851064,	 1778229851064, 0, 0,	 1778229848587,	 1778229848587, , 0, , 0, , blLBBp4BQS28Lnrz9s2g#nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C5:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, DKI-JAKARTA, JAKARTA-SELATAN, , , , , 0, 0, 1, , JKT-KBY-P-03-N, , 0, 0, 0, 0, , 0, Probe-0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, , , , , 0, 0, 0, , 0, 0, , , 0, , 0, 0, , 0, 0, 0, 0, , , , , /anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C5, 0, 0, 1, , , 0, , , 0, ARPE, 10583271000_b6ee1318, 0, 0, 
 10583271000_2ca6044fe446673f4a49b062d6eac3e305932e70893419ff178a02198d74056c, 1, 0, 10583271000_2ca6044fe446673f4a49b062d6eac3e305932e70893419ff178a02198d74056c, 0, , 0, FTTH_Nokia_OLT, transceiver-presence-mismatch-alarm, transceiver-presence-mismatch-alarm, , cFLBBp4BQS28Lnrz9s2l, , , nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C6:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, 0, , , , JKT-KBY-P-03-N, ,	 202, 98,	 1778229848667,	 10583271000, 0, 0,	 1778229848667,	 10583271000, , SA_NON_SERVICE_AFFECTING, FTTH_Nokia_OLT, , JKT-KBY-P-03-N, , , , 0, 0, Nokia_FTTH, Remove the transceiver and place a dust-cap on the open cage or configure the inserted transceiver for the system or insert the transceiver that matches the configuration, ," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured", 3,	 1778229837514,	 1778229837514, 0, 3, 3, , 0, , , , , , , 1," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured",	 1002, , 0, 10583271000_2ca6044fe446673f4a49b062d6eac3e305932e70893419ff178a02198d74056c, 0, , , 0, , 0, 0, 0,	 1778229851168,	 1778229851168, 0, 0,	 1778229848587,	 1778229848587, , 0, , 0, , cFLBBp4BQS28Lnrz9s2l#nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C6:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, DKI-JAKARTA, JAKARTA-SELATAN, , , , , 0, 0, 1, , JKT-KBY-P-03-N, , 0, 0, 0, 0, , 0, Probe-0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, , , , , 0, 0, 0, , 0, 0, , , 0, , 0, 0, , 0, 0, 0, 0, , , , , /anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C6, 0, 0, 1, , , 0, , , 0, ARPE, 10583271000_873dffa0, 0, 0, 
 10583271000_396d82f9f87a44242b87ffc81e5149b0e9b670343adaacd91ec4951e52ffa1b8, 1, 0, 10583271000_396d82f9f87a44242b87ffc81e5149b0e9b670343adaacd91ec4951e52ffa1b8, 0, , 0, FTTH_Nokia_OLT, transceiver-presence-mismatch-alarm, transceiver-presence-mismatch-alarm, , clLBBp4BQS28Lnrz9s2r, , , nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C7:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, 0, , , , JKT-KBY-P-03-N, ,	 202, 98,	 1778229848667,	 10583271000, 0, 0,	 1778229848667,	 10583271000, , SA_NON_SERVICE_AFFECTING, FTTH_Nokia_OLT, , JKT-KBY-P-03-N, , , , 0, 0, Nokia_FTTH, Remove the transceiver and place a dust-cap on the open cage or configure the inserted transceiver for the system or insert the transceiver that matches the configuration, ," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured", 3,	 1778229837514,	 1778229837514, 0, 3, 3, , 0, , , , , , , 1," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured",	 1002, , 0, 10583271000_396d82f9f87a44242b87ffc81e5149b0e9b670343adaacd91ec4951e52ffa1b8, 0, , , 0, , 0, 0, 0,	 1778229851168,	 1778229851168, 0, 0,	 1778229848587,	 1778229848587, , 0, , 0, , clLBBp4BQS28Lnrz9s2r#nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C7:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, DKI-JAKARTA, JAKARTA-SELATAN, , , , , 0, 0, 1, , JKT-KBY-P-03-N, , 0, 0, 0, 0, , 0, Probe-0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, , , , , 0, 0, 0, , 0, 0, , , 0, , 0, 0, , 0, 0, 0, 0, , , , , /anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C7, 0, 0, 1, , , 0, , , 0, ARPE, 10583271000_90840996, 0, 0, 
 10583271000_73e52a56088b6619d2cd503bcf2b552097dcbb9382c96431e281d068f93a47c8, 1, 0, 10583271000_73e52a56088b6619d2cd503bcf2b552097dcbb9382c96431e281d068f93a47c8, 0, , 0, FTTH_Nokia_OLT, transceiver-presence-mismatch-alarm, transceiver-presence-mismatch-alarm, , dlLBBp4BQS28Lnrz9s22, , , nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C9:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, 0, , , , JKT-KBY-P-03-N, ,	 202, 98,	 1778229848668,	 10583271000, 0, 0,	 1778229848668,	 10583271000, , SA_NON_SERVICE_AFFECTING, FTTH_Nokia_OLT, , JKT-KBY-P-03-N, , , , 0, 0, Nokia_FTTH, Remove the transceiver and place a dust-cap on the open cage or configure the inserted transceiver for the system or insert the transceiver that matches the configuration, ," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured", 3,	 1778229837514,	 1778229837514, 0, 3, 3, , 0, , , , , , , 1," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured",	 1002, , 0, 10583271000_73e52a56088b6619d2cd503bcf2b552097dcbb9382c96431e281d068f93a47c8, 0, , , 0, , 0, 0, 0,	 1778229851762,	 1778229851762, 0, 0,	 1778229848587,	 1778229848587, , 0, , 0, , dlLBBp4BQS28Lnrz9s22#nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C9:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, DKI-JAKARTA, JAKARTA-SELATAN, , , , , 0, 0, 1, , JKT-KBY-P-03-N, , 0, 0, 0, 0, , 0, Probe-0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, , , , , 0, 0, 0, , 0, 0, , , 0, , 0, 0, , 0, 0, 0, 0, , , , , /anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C9, 0, 0, 1, , , 0, , , 0, ARPE, 10583271000_789b4071, 0, 0, 
 10583271000_7d9aa2dca1349c5d8d17be51ab458367b4d8a50dba40b73ba98874df2b222be9, 1, 0, 10583271000_7d9aa2dca1349c5d8d17be51ab458367b4d8a50dba40b73ba98874df2b222be9, 0, , 0, FTTH_Nokia_OLT, transceiver-presence-mismatch-alarm, transceiver-presence-mismatch-alarm, , YFLBBp4BQS28Lnrz9s1o, , , nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C10:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, 0, , , , JKT-KBY-P-03-N, ,	 202, 98,	 1778229848666,	 10583271000, 0, 0,	 1778229848666,	 10583271000, , SA_NON_SERVICE_AFFECTING, FTTH_Nokia_OLT, , JKT-KBY-P-03-N, , , , 0, 0, Nokia_FTTH, Remove the transceiver and place a dust-cap on the open cage or configure the inserted transceiver for the system or insert the transceiver that matches the configuration, ," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured", 3,	 1778229837512,	 1778229837512, 0, 3, 3, , 0, , , , , , , 1," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured",	 1002, , 0, 10583271000_7d9aa2dca1349c5d8d17be51ab458367b4d8a50dba40b73ba98874df2b222be9, 0, , , 0, , 0, 0, 0,	 1778229851762,	 1778229851762, 0, 0,	 1778229848587,	 1778229848587, , 0, , 0, , YFLBBp4BQS28Lnrz9s1o#nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C10:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, DKI-JAKARTA, JAKARTA-SELATAN, , , , , 0, 0, 1, , JKT-KBY-P-03-N, , 0, 0, 0, 0, , 0, Probe-0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, , , , , 0, 0, 0, , 0, 0, , , 0, , 0, 0, , 0, 0, 0, 0, , , , , /anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C10, 0, 0, 1, , , 0, , , 0, ARPE, 10583271000_0ffe967b, 0, 0, 
 10583271000_81b482e34440e9deb13c85121b248bbd12b5b559e6a7a3d9315946b13ca258b9, 1, 0, 10583271000_81b482e34440e9deb13c85121b248bbd12b5b559e6a7a3d9315946b13ca258b9, 0, , 0, FTTH_Nokia_OLT, transceiver-presence-mismatch-alarm, transceiver-presence-mismatch-alarm, , YVLBBp4BQS28Lnrz9s1t, , , nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C11:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, 0, , , , JKT-KBY-P-03-N, ,	 202, 98,	 1778229848666,	 10583271000, 0, 0,	 1778229848666,	 10583271000, , SA_NON_SERVICE_AFFECTING, FTTH_Nokia_OLT, , JKT-KBY-P-03-N, , , , 0, 0, Nokia_FTTH, Remove the transceiver and place a dust-cap on the open cage or configure the inserted transceiver for the system or insert the transceiver that matches the configuration, ," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured", 3,	 1778229837512,	 1778229837512, 0, 3, 3, , 0, , , , , , , 1," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured",	 1002, , 0, 10583271000_81b482e34440e9deb13c85121b248bbd12b5b559e6a7a3d9315946b13ca258b9, 0, , , 0, , 0, 0, 0,	 1778229851168,	 1778229851168, 0, 0,	 1778229848587,	 1778229848587, , 0, , 0, , YVLBBp4BQS28Lnrz9s1t#nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C11:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, DKI-JAKARTA, JAKARTA-SELATAN, , , , , 0, 0, 1, , JKT-KBY-P-03-N, , 0, 0, 0, 0, , 0, Probe-0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, , , , , 0, 0, 0, , 0, 0, , , 0, , 0, 0, , 0, 0, 0, 0, , , , , /anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C11, 0, 0, 1, , , 0, , , 0, ARPE, 10583271000_53295186, 0, 0, 
 10583271000_8a88f823128792ab48e2a08960cf353ce119860a812004c4bc53f28462bae5db, 1, 0, 10583271000_8a88f823128792ab48e2a08960cf353ce119860a812004c4bc53f28462bae5db, 0, , 0, FTTH_Nokia_OLT, transceiver-presence-mismatch-alarm, transceiver-presence-mismatch-alarm, , ZFLBBp4BQS28Lnrz9s1_, , , nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C14:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, 0, , , , JKT-KBY-P-03-N, ,	 202, 98,	 1778229848667,	 10583271000, 0, 0,	 1778229848667,	 10583271000, , SA_NON_SERVICE_AFFECTING, FTTH_Nokia_OLT, , JKT-KBY-P-03-N, , , , 0, 0, Nokia_FTTH, Remove the transceiver and place a dust-cap on the open cage or configure the inserted transceiver for the system or insert the transceiver that matches the configuration, ," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured", 3,	 1778229837513,	 1778229837513, 0, 3, 3, , 0, , , , , , , 1," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured",	 1002, , 0, 10583271000_8a88f823128792ab48e2a08960cf353ce119860a812004c4bc53f28462bae5db, 0, , , 0, , 0, 0, 0,	 1778229851168,	 1778229851168, 0, 0,	 1778229848587,	 1778229848587, , 0, , 0, , ZFLBBp4BQS28Lnrz9s1_#nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C14:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, DKI-JAKARTA, JAKARTA-SELATAN, , , , , 0, 0, 1, , JKT-KBY-P-03-N, , 0, 0, 0, 0, , 0, Probe-0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, , , , , 0, 0, 0, , 0, 0, , , 0, , 0, 0, , 0, 0, 0, 0, , , , , /anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C14, 0, 0, 1, , , 0, , , 0, ARPE, 10583271000_c9a397c8, 0, 0, 
 10583271000_9e18c7eebfa8c4a02fa5d913ce107011d53c2ed623c1ec68cc1e85530d547e94, 1, 0, 10583271000_9e18c7eebfa8c4a02fa5d913ce107011d53c2ed623c1ec68cc1e85530d547e94, 0, , 0, FTTH_Nokia_OLT, transceiver-presence-mismatch-alarm, transceiver-presence-mismatch-alarm, , YlLBBp4BQS28Lnrz9s1z, , , nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C12:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, 0, , , , JKT-KBY-P-03-N, ,	 202, 98,	 1778229848666,	 10583271000, 0, 0,	 1778229848666,	 10583271000, , SA_NON_SERVICE_AFFECTING, FTTH_Nokia_OLT, , JKT-KBY-P-03-N, , , , 0, 0, Nokia_FTTH, Remove the transceiver and place a dust-cap on the open cage or configure the inserted transceiver for the system or insert the transceiver that matches the configuration, ," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured", 3,	 1778229837513,	 1778229837513, 0, 3, 3, , 0, , , , , , , 1," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured",	 1002, , 0, 10583271000_9e18c7eebfa8c4a02fa5d913ce107011d53c2ed623c1ec68cc1e85530d547e94, 0, , , 0, , 0, 0, 0,	 1778229851168,	 1778229851168, 0, 0,	 1778229848587,	 1778229848587, , 0, , 0, , YlLBBp4BQS28Lnrz9s1z#nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C12:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, DKI-JAKARTA, JAKARTA-SELATAN, , , , , 0, 0, 1, , JKT-KBY-P-03-N, , 0, 0, 0, 0, , 0, Probe-0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, , , , , 0, 0, 0, , 0, 0, , , 0, , 0, 0, , 0, 0, 0, 0, , , , , /anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C12, 0, 0, 1, , , 0, , , 0, ARPE, 10583271000_d59108e2, 0, 0, 
 10583271000_afe19336f4994545c118d0e540ec47b6c677848ec28093ce5c0874641dd513d2, 1, 0, 10583271000_afe19336f4994545c118d0e540ec47b6c677848ec28093ce5c0874641dd513d2, 0, , 0, FTTH_Nokia_OLT, transceiver-presence-mismatch-alarm, transceiver-presence-mismatch-alarm, , Y1LBBp4BQS28Lnrz9s15, , , nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C13:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, 0, , , , JKT-KBY-P-03-N, ,	 202, 98,	 1778229848666,	 10583271000, 0, 0,	 1778229848666,	 10583271000, , SA_NON_SERVICE_AFFECTING, FTTH_Nokia_OLT, , JKT-KBY-P-03-N, , , , 0, 0, Nokia_FTTH, Remove the transceiver and place a dust-cap on the open cage or configure the inserted transceiver for the system or insert the transceiver that matches the configuration, ," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured", 3,	 1778229837513,	 1778229837513, 0, 3, 3, , 0, , , , , , , 1," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured",	 1002, , 0, 10583271000_afe19336f4994545c118d0e540ec47b6c677848ec28093ce5c0874641dd513d2, 0, , , 0, , 0, 0, 0,	 1778229851064,	 1778229851064, 0, 0,	 1778229848587,	 1778229848587, , 0, , 0, , Y1LBBp4BQS28Lnrz9s15#nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C13:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, DKI-JAKARTA, JAKARTA-SELATAN, , , , , 0, 0, 1, , JKT-KBY-P-03-N, , 0, 0, 0, 0, , 0, Probe-0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, , , , , 0, 0, 0, , 0, 0, , , 0, , 0, 0, , 0, 0, 0, 0, , , , , /anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C13, 0, 0, 1, , , 0, , , 0, ARPE, 10583271000_4a3f8454, 0, 0, 
 10583271000_b0813d264b36c97afcb879ced4f11690804450aed0c077829fcc13d8f3ceebd9, 1, 0, 10583271000_b0813d264b36c97afcb879ced4f11690804450aed0c077829fcc13d8f3ceebd9, 0, , 0, FTTH_Nokia_OLT, transceiver-presence-mismatch-alarm, transceiver-presence-mismatch-alarm, , dFLBBp4BQS28Lnrz9s2w, , , nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C8:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, 0, , , , JKT-KBY-P-03-N, ,	 202, 98,	 1778229848667,	 10583271000, 0, 0,	 1778229848667,	 10583271000, , SA_NON_SERVICE_AFFECTING, FTTH_Nokia_OLT, , JKT-KBY-P-03-N, , , , 0, 0, Nokia_FTTH, Remove the transceiver and place a dust-cap on the open cage or configure the inserted transceiver for the system or insert the transceiver that matches the configuration, ," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured", 3,	 1778229837514,	 1778229837514, 0, 3, 3, , 0, , , , , , , 1," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured",	 1002, , 0, 10583271000_b0813d264b36c97afcb879ced4f11690804450aed0c077829fcc13d8f3ceebd9, 0, , , 0, , 0, 0, 0,	 1778229851064,	 1778229851064, 0, 0,	 1778229848587,	 1778229848587, , 0, , 0, , dFLBBp4BQS28Lnrz9s2w#nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C8:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, DKI-JAKARTA, JAKARTA-SELATAN, , , , , 0, 0, 1, , JKT-KBY-P-03-N, , 0, 0, 0, 0, , 0, Probe-0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, , , , , 0, 0, 0, , 0, 0, , , 0, , 0, 0, , 0, 0, 0, 0, , , , , /anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C8, 0, 0, 1, , , 0, , , 0, ARPE, 10583271000_8e1329d9, 0, 0, 
 10583271000_b4733398faf532a7385e1296ba110d2cd0b728c926115ce93e4204257504ade8, 1, 0, 10583271000_b4733398faf532a7385e1296ba110d2cd0b728c926115ce93e4204257504ade8, 0, , 0, FTTH_Nokia_OLT, transceiver-presence-mismatch-alarm, transceiver-presence-mismatch-alarm, , bFLBBp4BQS28Lnrz9s2a, , , nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C4:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, 0, , , , JKT-KBY-P-03-N, ,	 202, 98,	 1778229848667,	 10583271000, 0, 0,	 1778229848667,	 10583271000, , SA_NON_SERVICE_AFFECTING, FTTH_Nokia_OLT, , JKT-KBY-P-03-N, , , , 0, 0, Nokia_FTTH, Remove the transceiver and place a dust-cap on the open cage or configure the inserted transceiver for the system or insert the transceiver that matches the configuration, ," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured", 3,	 1778229837513,	 1778229837513, 0, 3, 3, , 0, , , , , , , 1," NOKIA_GPON:3FE53441FC Transceiver plugged-in, but not configured",	 1002, , 0, 10583271000_b4733398faf532a7385e1296ba110d2cd0b728c926115ce93e4204257504ade8, 0, , , 0, , 0, 0, 0,	 1778229851168,	 1778229851168, 0, 0,	 1778229848587,	 1778229848587, , 0, , 0, , bFLBBp4BQS28Lnrz9s2a#nokia-altiplano-av_ALARM:/anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C4:nokia-eqpt-alarm-types:transceiver-presence-mismatch-alarm, DKI-JAKARTA, JAKARTA-SELATAN, , , , , 0, 0, 1, , JKT-KBY-P-03-N, , 0, 0, 0, 0, , 0, Probe-0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, , , , , 0, 0, 0, , 0, 0, , , 0, , 0, 0, , 0, 0, 0, 0, , , , , /anv:device-manager/anv-device-holders:device=JKT-KBY-P-03-N/device-specific-data/ietf-hardware:hardware/component=C4, 0, 0, 1, , , 0, , , 0, ARPE, 10583271000_f47cfb76, 0, 0, 
