 active, id, keycode, change_time, optionid, optionlabel
 true, bb129946-e165-11f0-aa35-0255ac1218d9, BusinessInReview,	 1766648749782, BusinessInReview, In Review
 true, bb12992f-e165-11f0-aa35-0255ac1218d9, BusinessStatus Pending for Approval,	 1766648749782, BusinessStatus Pending for Approval, Pending for Approval
 true, bb129928-e165-11f0-aa35-0255ac1218d9, BusinessStatus Pending for Assessment,	 1766648749782, BusinessStatus Pending for Assessment, Pending for Assessment
 true, bb129941-e165-11f0-aa35-0255ac1218d9, BusinessStatus Pending for Validation,	 1766648749782, BusinessStatus Pending for Validation, Pending for Validation
 true, bb129931-e165-11f0-aa35-0255ac1218d9, BusinessStatus Submitted,	 1766648749782, BusinessStatus Submitted, Submitted
 true, bb12994b-e165-11f0-aa35-0255ac1218d9, BusinessStatusAbortException,	 1766648749782, BusinessStatusAbortException, Abort Exception
 true, bb12992b-e165-11f0-aa35-0255ac1218d9, BusinessStatusAccepted,	 1766648749782, BusinessStatusAccepted, Accepted
 true, bb12993e-e165-11f0-aa35-0255ac1218d9, BusinessStatusAssigned,	 1766648749782, BusinessStatusAssigned, Assigned
 true, bb12991f-e165-11f0-aa35-0255ac1218d9, BusinessStatusBORejectClosed,	 1766648749782, BusinessStatusBORejectClosed, BO Reject Closed
 true, bb129949-e165-11f0-aa35-0255ac1218d9, BusinessStatusBuildandTestApprove,	 1766648749782, BusinessStatusBuildandTestApprove, Build and Test Approve
 true, bb12993d-e165-11f0-aa35-0255ac1218d9, BusinessStatusBuildandTestInProgress,	 1766648749782, BusinessStatusBuildandTestInProgress, Build and Test In Progress
 true, 972f3578-e172-11f0-bac9-0255ac1218ed, BusinessStatusCR Created,	 1766654272746, BusinessStatusCR Created, CR Created
 true, 972f5c89-e172-11f0-bac9-0255ac1218ed, BusinessStatusCR Handled,	 1766654272747, BusinessStatusCR Handled, CR Handled
 true, 972f839a-e172-11f0-bac9-0255ac1218ed, BusinessStatusCR Implemented,	 1766654272748, BusinessStatusCR Implemented, CR Implemented
 true, 972faaab-e172-11f0-bac9-0255ac1218ed, BusinessStatusCR L1 Approved,	 1766654272749, BusinessStatusCR L1 Approved, CR L1 Approved
 true, 972fd1bc-e172-11f0-bac9-0255ac1218ed, BusinessStatusCR L2 Approved,	 1766654272750, BusinessStatusCR L2 Approved, CR L2 Approved
 true, 972ff8cd-e172-11f0-bac9-0255ac1218ed, BusinessStatusCR L3 Approved,	 1766654272751, BusinessStatusCR L3 Approved, CR L3 Approved
 true, 97301fde-e172-11f0-bac9-0255ac1218ed, BusinessStatusCR Plan Confirmed,	 1766654272752, BusinessStatusCR Plan Confirmed, CR Plan Confirmed
 true, bb129930-e165-11f0-aa35-0255ac1218d9, BusinessStatusCancel,	 1766648749782, BusinessStatusCancel, Canceled
 true, bb129922-e165-11f0-aa35-0255ac1218d9, BusinessStatusClosed,	 1766648749782, BusinessStatusClosed, Closed
 true, bb129937-e165-11f0-aa35-0255ac1218d9, BusinessStatusCompleted,	 1766648749782, BusinessStatusCompleted, Completed
 true, bb12991b-e165-11f0-aa35-0255ac1218d9, BusinessStatusConditionalAccepted,	 1766648749782, BusinessStatusConditionalAccepted, Conditional Accepted
 true, bb129947-e165-11f0-aa35-0255ac1218d9, BusinessStatusDispatched,	 1766648749782, BusinessStatusDispatched, Dispatched
 true, bb129918-e165-11f0-aa35-0255ac1218d9, BusinessStatusFinished,	 1766648749782, BusinessStatusFinished, Finished
 true, 973046ef-e172-11f0-bac9-0255ac1218ed, BusinessStatusImplementation Confirmed,	 1766654272753, BusinessStatusImplementation Confirmed, Implementation Confirmed
 true, bb12992c-e165-11f0-aa35-0255ac1218d9, BusinessStatusImplementationApprove,	 1766648749782, BusinessStatusImplementationApprove, Implementation Approve
 true, bb129932-e165-11f0-aa35-0255ac1218d9, BusinessStatusImplementationInProgress,	 1766648749782, BusinessStatusImplementationInProgress, Implementation In Progress
 true, bb129938-e165-11f0-aa35-0255ac1218d9, BusinessStatusInAssessment,	 1766648749782, BusinessStatusInAssessment, In Assessment
 true, bb129943-e165-11f0-aa35-0255ac1218d9, BusinessStatusInComplete,	 1766648749782, BusinessStatusInComplete, In Complete
 true, bb129935-e165-11f0-aa35-0255ac1218d9, BusinessStatusInProcess,	 1766648749782, BusinessStatusInProcess, In Process
 true, bb12993b-e165-11f0-aa35-0255ac1218d9, BusinessStatusInProgress,	 1766648749782, BusinessStatusInProgress, In Progress
 true, bb129920-e165-11f0-aa35-0255ac1218d9, BusinessStatusIninvestigation,	 1766648749782, BusinessStatusIninvestigation, In investigation
 true, bb129926-e165-11f0-aa35-0255ac1218d9, BusinessStatusInitialized,	 1766648749782, BusinessStatusInitialized, Initialized
