 value_id, vendor, name, label, id, keycode, actual_model_id, active, change_time
	 720, , IPBB, IPBB, 0c6cd45a-0303-11f1-8e49-0255ac121206, IPBB, , false,	 1771226359385
 25, , OLT, OLT, 2c350808-f427-11f0-88b0-0255ac1218e7, OLT, , true,	 1768710953106
	 721, , Access, Access, 2dc4bfb3-0303-11f1-b3b6-0255ac120212, Access, , true,	 1770344770283
	 202, , FTTH, FTTH, 327c14fa-0632-11f1-8067-0255ac120037, FTTH, , true,	 1770694809033
 88, , CME, CME, 53d2533d-f427-11f0-9d92-0255ac12108d, CME, , true,	 1768711019568
	 1003, , Zabbix, Zabbix, 6edc60ce-2107-11f1-8e49-0255ac121206, Zabbix, , true,	 1773645123362
 23, , IPCore, IP Core, 75f3a94a-f427-11f0-88b0-0255ac1218e7, IPCore, , true,	 1768711076829
 10, , Backbone, Backbone, 8297e3be-f354-11f0-b937-0255ac120054, Backbone, , true,	 1768620474228
	 1080000, , Fan, Fan, 84964adb-8207-11f1-b7cb-0255ac12007c, Fan, , true,	 1784310422602
	 103, , RAN-5G, RAN-5G, 9566e8f4-e635-11f0-a524-0255ac120ffe, RAN-5G, , false,	 1771226318323
 97, , DWDM, DWDM, 9ebb0ffc-f422-11f0-ac99-0255ac12120f, DWDM, , true,	 1768708997761
 95, , MPLS, MPLS, a80683d2-f422-11f0-a40b-0255ac120074, MPLS, , true,	 1768709013355
 4, , OTN, OTN, ae596d2b-3509-11f1-8b98-0255ac12108b, OTN, , true,	 1775845112127
	 1001, , FWA-RAN, FWA-RAN, dd2edf62-055d-11f1-9066-0255ac121cb3, FWA-RAN, , true,	 1770603612613
 11, , Core, Core, e3d784e4-066d-11f1-b28c-0255ac12007b, Core, , true,	 1770720446895
	 1002, , FWA-Core, FWA-Core, e5d78f4b-1085-11f1-a4c0-0255ac12094c, FWA-Core, , true,	 1771830269800
	 122, , AN, AN, e8e95e59-e165-11f0-b59c-0255ac12021d, AN, , false,	 1771226136039
	 201, , CS, CS, e8ecb9ca-e165-11f0-b59c-0255ac12021d, CS, , false,	 1771226265509
	 707, , CTC, CTC, e8ee677f-e165-11f0-b59c-0255ac12021d, CTC, , false,	 1771226235930
	 400, , Data, Data, e8efee2c-e165-11f0-b59c-0255ac12021d, Data, , true,	 1770602915586
	 114, , HLR, HLR, e8f174d0-e165-11f0-b59c-0255ac12021d, HLR, , false,	 1771226246870
	 700, , IT-Application, IT-Application, e8f32289-e165-11f0-b59c-0255ac12021d, IT-Application, , false,	 1771226150385
	 701, , IT-DataBase, IT-DataBase, e8f4a937-e165-11f0-b59c-0255ac12021d, IT-DataBase, , false,	 1771226150385
	 702, , IT-Facility, IT-Facility, e8f62fe3-e165-11f0-b59c-0255ac12021d, IT-Facility, , false,	 1771226150385
	 703, , IT-Middleware, IT-Middleware, e8f78f78-e165-11f0-b59c-0255ac12021d, IT-Middleware, , false,	 1771226150385
